variable_name,datasets_involved,conflict_type,evidence,proposed_change,risk_note
cbsatitle,msa_keys.dta; msa_tract_race_pop.dta,naming,storage_type: str46 (msa_keys.dta) | str57 (msa_tract_race_pop.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
eb_number,pc01_pdf_eb_clean.dta; pc11_pdf_eb_clean.dta,naming,storage_type: Q (pc01_pdf_eb_clean.dta) | str33 (pc11_pdf_eb_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
location_code,pc01_hb_eb_pop.dta; pc01_pdf_eb_clean.dta; pc11_pdf_eb_clean.dta,naming,storage_type: Q (pc01_pdf_eb_clean.dta) | str14 (pc01_hb_eb_pop.dta) | str32 (pc11_pdf_eb_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
location_code_tmp,pc01_pdf_eb_clean.dta; pc11_pdf_eb_clean.dta,naming,storage_type: str6 (pc11_pdf_eb_clean.dta) | str8 (pc01_pdf_eb_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc01_district_id,pc01_hb_eb_pop.dta; pc01_pdf_shrid_key.dta; pc01u_pca_clean.dta; pc11_pdf_shrid_key.dta,naming,storage_type: byte (pc01_hb_eb_pop.dta) | str2 (pc01_pdf_shrid_key.dta; pc01u_pca_clean.dta; pc11_pdf_shrid_key.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc01_pca_tot_p,pc01_hb_eb_pop.dta; pc01_pdf_shrid_key.dta; pc01u_pca_clean.dta,naming,storage_type: double (pc01_hb_eb_pop.dta) | long (pc01_pdf_shrid_key.dta; pc01u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc01_state_id,pc01_hb_eb_pop.dta; pc01_pdf_shrid_key.dta; pc01u_pca_clean.dta; pc11_pdf_shrid_key.dta; shrug_pc01u_key.dta,naming,storage_type: byte (pc01_hb_eb_pop.dta) | str2 (pc01_pdf_shrid_key.dta; pc01u_pca_clean.dta; pc11_pdf_shrid_key.dta; shrug_pc01u_key.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc01_state_name,pc01_hb_eb_pop.dta; pc01_pdf_shrid_key.dta; pc01u_pca_clean.dta,naming,storage_type: str17 (pc01_pdf_shrid_key.dta) | str23 (pc01_hb_eb_pop.dta; pc01u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc01_town_name,pc01_pdf_shrid_key.dta; pc01u_pca_clean.dta,naming,storage_type: str41 (pc01_pdf_shrid_key.dta) | str66 (pc01u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_f_06,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_f_ill,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_f_lit,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_f_sc,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_f_st,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_m_06,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_m_ill,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_m_lit,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_m_sc,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
pc11_pca_m_st,pc11r_pca_clean.dta; pc11u_pca_clean.dta; shrug_pc11_pca.dta,naming,storage_type: float (shrug_pc11_pca.dta; shrug_pc11_pca.dta) | int (pc11r_pca_clean.dta) | long (pc11u_pca_clean.dta),Choose one storage convention or rename variables if concepts differ.,"Same name with different storage can break appends, merges, or pooled code."
