dataset_name,absolute_dataset_path,file_type,n_obs,n_vars,creator_script,producer_script,dataset_stage,sheet_name
city_seg_district_rural_urban_200.dta,/dartfs/rc/lab/I/IEC/seg/clean/city_seg_district_rural_urban_200.dta,dta,514,9,b/gen_district_correlates_urban_rural.do,b/gen_district_correlates_urban_rural.do,generated_analysis_input,city_seg_district_rural_urban_2
city_seg_district_rural_urban_4000.dta,/dartfs/rc/lab/I/IEC/seg/clean/city_seg_district_rural_urban_4000.dta,dta,514,9,b/gen_district_correlates_urban_rural.do,b/gen_district_correlates_urban_rural.do,generated_analysis_input,city_seg_district_rural_urban_4
dissim_iso_block_groups.dta,/dartfs/rc/lab/I/IEC/seg/dissim_iso_block_groups.dta,dta,11,9,b/gen_seg_block_groups.do,b/gen_seg_block_groups.do,generated_analysis_input,dissim_iso_block_groups.dta
msa_keys.dta,/dartfs/rc/lab/I/IEC/seg/clean/us/msa_keys.dta,dta,1841,13,b/gen_us_seg_variables.do,b/gen_us_seg_variables.do,generated_analysis_input,msa_keys.dta
msa_tract_race_pop.dta,/dartfs/rc/lab/I/IEC/seg/clean/us/msa_tract_race_pop.dta,dta,70111,24,b/gen_us_seg_variables.do,b/gen_us_seg_variables.do,generated_analysis_input,msa_tract_race_pop.dta
pc01_hb_eb_pop.dta,/dartfs/rc/lab/I/IEC/pc01/pc01_hb_eb_pop.dta,dta,311734,26,,,raw_analysis_input,pc01_hb_eb_pop.dta
pc01_pdf_eb_clean.dta,/dartfs/rc/lab/I/IEC/seg/clean/handbooks/pc01_pdf_eb_clean.dta,dta,232564,12,,,raw_analysis_input,pc01_pdf_eb_clean.dta
pc01_pdf_shrid_key.dta,/dartfs/rc/lab/I/IEC/seg/clean/handbooks/pc01_pdf_shrid_key.dta,dta,2467,17,,,raw_analysis_input,pc01_pdf_shrid_key.dta
pc01u_pca_clean.dta,/dartfs/rc/lab/I/IEC/pc01/pc01u_pca_clean.dta,dta,5213,65,,,raw_analysis_input,pc01u_pca_clean.dta
pc11-district.dbf,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-district.dbf,dbf,640,3,,,raw_analysis_input,pc11-district.dbf
pc11-district.prj,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-district.prj,prj,1,1,,,raw_analysis_input,pc11-district.prj
pc11-district.shp,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-district.shp,shp,640,3,,,raw_analysis_input,pc11-district.shp
pc11-district.shx,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-district.shx,shx,1,1,,,raw_analysis_input,pc11-district.shx
pc11-state.dbf,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-state.dbf,dbf,35,2,,,raw_analysis_input,pc11-state.dbf
pc11-state.prj,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-state.prj,prj,1,1,,,raw_analysis_input,pc11-state.prj
pc11-state.shp,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-state.shp,shp,35,2,,,raw_analysis_input,pc11-state.shp
pc11-state.shx,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-state.shx,shx,1,1,,,raw_analysis_input,pc11-state.shx
pc11-subdistrict.dbf,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-subdistrict.dbf,dbf,5988,4,,,raw_analysis_input,pc11-subdistrict.dbf
pc11-subdistrict.prj,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-subdistrict.prj,prj,1,1,,,raw_analysis_input,pc11-subdistrict.prj
pc11-subdistrict.shp,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-subdistrict.shp,shp,5988,4,,,raw_analysis_input,pc11-subdistrict.shp
pc11-subdistrict.shx,/dartfs/rc/lab/I/IEC/gis/pc11/mlinfo/pc11-subdistrict.shx,shx,1,1,,,raw_analysis_input,pc11-subdistrict.shx
pc11_muslims_rural.dta,/dartfs/rc/lab/I/IEC/seg/clean/pc11/pc11_muslims_rural.dta,dta,5957,2,b/gen_pc_muslim_share.do,b/gen_pc_muslim_share.do,generated_analysis_input,pc11_muslims_rural.dta
pc11_muslims_urban.dta,/dartfs/rc/lab/I/IEC/seg/clean/pc11/pc11_muslims_urban.dta,dta,7528,3,b/gen_pc_muslim_share.do,b/gen_pc_muslim_share.do,generated_analysis_input,pc11_muslims_urban.dta
pc11_pdf_eb_clean.dta,/dartfs/rc/lab/I/IEC/seg/clean/handbooks/pc11_pdf_eb_clean.dta,dta,561524,12,,,raw_analysis_input,pc11_pdf_eb_clean.dta
pc11_pdf_shrid_key.dta,/dartfs/rc/lab/I/IEC/seg/clean/handbooks/pc11_pdf_shrid_key.dta,dta,6667,24,,,raw_analysis_input,pc11_pdf_shrid_key.dta
pc11r_pca_clean.dta,/dartfs/rc/lab/I/IEC/seg/clean/pc11/pc11r_pca_clean.dta,dta,597597,97,,,raw_analysis_input,pc11r_pca_clean.dta
pc11r_subdistrict_social_group.dta,/dartfs/rc/lab/I/IEC/seg/clean/pc11/pc11r_subdistrict_social_group.dta,dta,5952,8,,,raw_analysis_input,pc11r_subdistrict_social_group.
pc11u_pca_clean.dta,/dartfs/rc/lab/I/IEC/seg/clean/pc11/pc11u_pca_clean.dta,dta,8067,95,,,raw_analysis_input,pc11u_pca_clean.dta
pc11u_town_social_group.dta,/dartfs/rc/lab/I/IEC/seg/clean/pc11/pc11u_town_social_group.dta,dta,8130,7,,,raw_analysis_input,pc11u_town_social_group.dta
seg_comparisons_d.csv,/Users/f0018fb/Dropbox/tmp/stata/seg_comparisons_d.csv,csv,0,1,,,raw_analysis_input,seg_comparisons_d.csv
seg_comparisons_i_raw.csv,/Users/f0018fb/Dropbox/tmp/stata/seg_comparisons_i_raw.csv,csv,0,1,,,raw_analysis_input,seg_comparisons_i_raw.csv
seg_comparisons_i_rescaled.csv,/Users/f0018fb/Dropbox/tmp/stata/seg_comparisons_i_rescaled.csv,csv,0,1,,,raw_analysis_input,seg_comparisons_i_rescaled.csv
seg_correlates.dta,/dartfs-hpc/scratch/siddiqui/seg_correlates_handoff/harmonized/seg_correlates.dta,dta,3638,64,b/prep_correlates.do,b/prep_correlates.do,harmonized_analysis_input,seg_correlates.dta
segregation_blockdata_rural_200.dta,/dartfs/rc/lab/I/IEC/seg/clean/segregation_blockdata_rural_200.dta,dta,1108313,128,b/gen_seg_variables.do,b/gen_seg_variables.do,generated_analysis_input,segregation_blockdata_rural_200
segregation_blockdata_rural_4000.dta,/dartfs/rc/lab/I/IEC/seg/clean/segregation_blockdata_rural_4000.dta,dta,415201,128,b/gen_seg_variables.do,b/gen_seg_variables.do,generated_analysis_input,segregation_blockdata_rural_400
segregation_blockdata_urban_200.dta,/dartfs/rc/lab/I/IEC/seg/clean/segregation_blockdata_urban_200.dta,dta,400534,153,b/gen_seg_variables.do,b/gen_seg_variables.do,generated_analysis_input,segregation_blockdata_urban_200
segregation_blockdata_urban_4000.dta,/dartfs/rc/lab/I/IEC/seg/clean/segregation_blockdata_urban_4000.dta,dta,86952,153,b/gen_seg_variables.do,b/gen_seg_variables.do,generated_analysis_input,segregation_blockdata_urban_400
segregation_citydata_rural_200.dta,/dartfs/rc/lab/I/IEC/seg/clean/segregation_citydata_rural_200.dta,dta,4869,142,b/gen_segregation_city_block_data.do,b/gen_segregation_city_block_data.do,generated_analysis_input,segregation_citydata_rural_200.
segregation_citydata_urban_200.dta,/dartfs/rc/lab/I/IEC/seg/clean/segregation_citydata_urban_200.dta,dta,3612,166,b/gen_segregation_city_block_data.do,b/gen_segregation_city_block_data.do,generated_analysis_input,segregation_citydata_urban_200.
segregation_citydata_urban_4000.dta,/dartfs/rc/lab/I/IEC/seg/clean/segregation_citydata_urban_4000.dta,dta,3612,166,b/gen_segregation_city_block_data.do,b/gen_segregation_city_block_data.do,generated_analysis_input,segregation_citydata_urban_4000
shrug_names.dta,/dartfs/rc/lab/I/IEC/shrug/keys/shrug_names.dta,dta,642049,5,,,raw_analysis_input,shrug_names.dta
shrug_pc01u_key.dta,/dartfs/rc/lab/I/IEC/shrug/keys/shrug_pc01u_key.dta,dta,5171,3,,,raw_analysis_input,shrug_pc01u_key.dta
shrug_pc11_pca.dta,/dartfs/rc/lab/I/IEC/seg/clean/shrug/shrug_pc11_pca.dta,dta,590874,99,,,raw_analysis_input,shrug_pc11_pca.dta
shrug_pc11_pca.dta,/dartfs/rc/lab/I/IEC/shrug/data/shrug_pc11_pca.dta,dta,590874,99,,,raw_analysis_input,shrug_pc11_pca.dta_1
shrug_pc11_state_key.dta,/dartfs/rc/lab/I/IEC/shrug/keys/shrug_pc11_state_key.dta,dta,633229,3,,,raw_analysis_input,shrug_pc11_state_key.dta
shrug_pc11_subdistrict_key.dta,/dartfs/rc/lab/I/IEC/seg/clean/shrug/shrug_pc11_subdistrict_key.dta,dta,633229,7,,,raw_analysis_input,shrug_pc11_subdistrict_key.dta
shrug_pc11_td.dta,/dartfs/rc/lab/I/IEC/seg/clean/shrug/shrug_pc11_td.dta,dta,7526,373,,,raw_analysis_input,shrug_pc11_td.dta
shrug_pc11_vd.dta,/dartfs/rc/lab/I/IEC/seg/clean/shrug/shrug_pc11_vd.dta,dta,583572,388,,,raw_analysis_input,shrug_pc11_vd.dta
shrug_spatial.dta,/dartfs/rc/lab/I/IEC/shrug/data/shrug_spatial.dta,dta,633228,21,,,raw_analysis_input,shrug_spatial.dta
us_census_msa_dissim.dta,/dartfs/rc/lab/I/IEC/seg/clean/us/us_census_msa_dissim.dta,dta,384,11,b/gen_us_seg_variables.do,b/gen_us_seg_variables.do,generated_analysis_input,us_census_msa_dissim.dta
us_tpop_b.dta,/dartfs/rc/lab/I/IEC/seg/clean/us/us_tpop_b.dta,dta,20,2,b/gen_us_seg_variables.do,b/gen_us_seg_variables.do,generated_analysis_input,us_tpop_b.dta
us_tract_pop.dta,/dartfs/rc/lab/I/IEC/seg/clean/us/us_tract_pop.dta,dta,83776,11,b/gen_us_seg_variables.do,b/gen_us_seg_variables.do,generated_analysis_input,us_tract_pop.dta
