dataset_name,variable_name,variable_rename,variable_label,storage_type,is_categorical,levels,value_labels,n_missing,n_obs,pct_missing,cleaning_flag,rename_suggestion,conflict_flag,remedial_note
msa_tract_race_pop.dta,cbsatitle,cbsa_name,Label (Grouping),str57,0,,,0,70111,0.000,,cbsa_name,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
msa_tract_race_pop.dta,msa_total_pop,,Total:,long,0,,,0,70111,0.000,,,label,Same variable name has inconsistent labels.
msa_tract_race_pop.dta,msa_pop_whiteonly,msa_white_only_pop,Total:!!Population of one race:!!White alone,long,0,,,0,70111,0.000,,msa_white_only_pop,,
msa_tract_race_pop.dta,msa_pop_blackonly,msa_black_only_pop,Total:!!Population of one race:!!Black or African American alone,long,0,,,0,70111,0.000,,msa_black_only_pop,label,Same variable name has inconsistent labels.
msa_tract_race_pop.dta,msa_black_pop,,,float,0,,,0,70111,0.000,,,label,Same variable name has inconsistent labels.
msa_tract_race_pop.dta,msa_nonblack_pop,msa_non_black_pop,,float,0,,,0,70111,0.000,,msa_non_black_pop,,
msa_tract_race_pop.dta,msa_total_pop_bw,msa_black_white_total_pop,,float,0,,,0,70111,0.000,,msa_black_white_total_pop,label,Same variable name has inconsistent labels.
msa_tract_race_pop.dta,fips_code,us_county_fips_id,,str5,0,,,0,70111,0.000,,us_county_fips_id,,
msa_tract_race_pop.dta,tract_id,,GEO_ID,str20,0,,,0,70111,0.000,,,,
msa_tract_race_pop.dta,tract_total_pop,,P1_001N,long,0,,,0,70111,0.000,,,,
msa_tract_race_pop.dta,tract_whiteonly_pop,tract_white_only_pop,P1_003N,int,0,,,0,70111,0.000,,tract_white_only_pop,,
msa_tract_race_pop.dta,tract_blackonly_pop,tract_black_only_pop,P1_004N,int,0,,,0,70111,0.000,,tract_black_only_pop,,
msa_tract_race_pop.dta,tract_black_pop,,,float,0,,,0,70111,0.000,,,,
msa_tract_race_pop.dta,tract_nonblack_pop,tract_non_black_pop,,float,0,,,0,70111,0.000,,tract_non_black_pop,,
msa_tract_race_pop.dta,tract_total_pop_bw,tract_black_white_total_pop,,float,0,,,0,70111,0.000,,tract_black_white_total_pop,,
