dataset_name,variable_name,variable_rename,variable_label,storage_type,is_categorical,levels,value_labels,n_missing,n_obs,pct_missing,cleaning_flag,rename_suggestion,conflict_flag,remedial_note
pc01_hb_eb_pop.dta,idm,pc01_hb_match_id,,str72,0,,,0,311734,0.000,,pc01_hb_match_id,,
pc01_hb_eb_pop.dta,pc01_state_id,,,byte,0,,,0,311734,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc01_hb_eb_pop.dta,pc01_state_name,,PC01 state name,str23,0,,,0,311734,0.000,,,naming,Same variable name has inconsistent storage type.
pc01_hb_eb_pop.dta,pc01_district_id,,,byte,0,,,0,311734,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc01_hb_eb_pop.dta,pc01_district_name,,PC01 district name,str26,0,,,0,311734,0.000,,,,
pc01_hb_eb_pop.dta,pc01_town_hb,,,str72,0,,,0,311734,0.000,,,,
pc01_hb_eb_pop.dta,pc01_town_id,,Town ID,str8,0,,,0,311734,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc01_hb_eb_pop.dta,pc01_town_pca,,,str66,0,,,0,311734,0.000,,,,
pc01_hb_eb_pop.dta,filename,pc01_hb_file_name,,str244,0,,,0,311734,0.000,,pc01_hb_file_name,,
pc01_hb_eb_pop.dta,location_code,pc01_location_id,,str14,0,,,0,311734,0.000,,pc01_location_id,naming,Same variable name has inconsistent storage type.
pc01_hb_eb_pop.dta,ward_name,pc01_hb_ward_name,,str13,0,,,589,311734,0.002,,pc01_hb_ward_name,naming,Same variable name has inconsistent storage type.
pc01_hb_eb_pop.dta,eb_no,pc01_eb_id,,str14,0,,,31,311734,0.000,,pc01_eb_id,,
pc01_hb_eb_pop.dta,total_pop,,,long,0,,,0,311734,0.000,,,,
pc01_hb_eb_pop.dta,sc_pop,,,int,0,,,0,311734,0.000,,,,
pc01_hb_eb_pop.dta,st_pop,,,int,0,,,0,311734,0.000,,,,
pc01_hb_eb_pop.dta,shrid2,shrug_alt_id,SHRUG Identifier,str22,0,,,0,311734,0.000,,shrug_alt_id,conceptual,Same normalized label appears under different variable names.
pc01_hb_eb_pop.dta,pc01_subdistrict_id,,2001 subdistrict id,str4,0,,,0,311734,0.000,,,label,Same variable name has inconsistent labels.
pc01_hb_eb_pop.dta,pc01_land_area,,Land area (sq. kms.),float,0,,,0,311734,0.000,,,,
pc01_hb_eb_pop.dta,pc01_pca_tot_p,,Total Population,double,0,,,0,311734,0.000,,,naming;conceptual,Same variable name has inconsistent storage type. | Same normalized label appears under different variable names.
pc01_hb_eb_pop.dta,non_sc_pop,,,float,0,,,0,311734,0.000,,,,
pc01_hb_eb_pop.dta,eb_units_shrid,pc01_shrug_eb_count,,int,0,,,0,311734,0.000,,pc01_shrug_eb_count,,
pc01_hb_eb_pop.dta,d_sc_pc01,,dissimilarity: SC (shrid),float,0,,,0,311734,0.000,,,,
pc01_hb_eb_pop.dta,iso_sc_pc01,,Isolation: SC (shrid),float,0,,,0,311734,0.000,,,,
pc01_hb_eb_pop.dta,iso_sc_pc01_rescaled,,Rescaled Isolation (0-1): SC (shrid),float,0,,,0,311734,0.000,,,,
pc01_hb_eb_pop.dta,tot_pop_shrid_pc01,pc01_shrug_total_pop,,float,0,,,0,311734,0.000,,pc01_shrug_total_pop,,
pc01_hb_eb_pop.dta,sc_pop_shrid_pc01,pc01_shrug_sc_pop,,float,0,,,0,311734,0.000,,pc01_shrug_sc_pop,,
