dataset_name,variable_name,variable_rename,variable_label,storage_type,is_categorical,levels,value_labels,n_missing,n_obs,pct_missing,cleaning_flag,rename_suggestion,conflict_flag,remedial_note
pc11r_pca_clean.dta,pc11_state_id,,State ID,str2,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_state_name,,2011 state name,str23,0,,,0,597597,0.000,,,,
pc11r_pca_clean.dta,pc11_district_id,,District ID,str3,0,,,0,597597,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_district_name,,2011 district name,str27,0,,,0,597597,0.000,,,,
pc11r_pca_clean.dta,pc11_subdistrict_id,,Subdistrict (tehsil/taluk) ID,str5,0,,,1,597597,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_subdistrict_name,,2011 subdistrict name,str36,0,,,1,597597,0.000,,,,
pc11r_pca_clean.dta,pc11_village_id,,Village ID,str6,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_village_name,,Village Name,str57,0,,,0,597597,0.000,,,,
pc11r_pca_clean.dta,pc11_pca_level,,State/District/SubDistrict/Town/Ward/Village,str7,0,,,0,597597,0.000,,,,
pc11r_pca_clean.dta,pc11_pca_tru,,"Rural, Urban or Total",str5,0,,,0,597597,0.000,,,,
pc11r_pca_clean.dta,pc11_pca_no_hh,,Number of Households,int,0,,,0,597597,0.000,,,naming;conceptual,Same variable name has inconsistent storage type. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_tot_p,,Total Population,long,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_tot_m,,Male Population,long,0,,,0,597597,0.000,,,naming;conceptual,Same variable name has inconsistent storage type. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_tot_f,,Female Population,int,0,,,0,597597,0.000,,,naming;conceptual,Same variable name has inconsistent storage type. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_p_06,,Population (0-6),int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_m_06,,Male Population (0-6),int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_f_06,,Female Population (0-6),int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_p_sc,,Scheduled Castes Population Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_m_sc,,Scheduled Castes Population Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_f_sc,,Scheduled Castes Population Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_p_st,,Scheduled Tribes Population Total,long,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_m_st,,Scheduled Tribes Population Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_f_st,,Scheduled Tribes Population Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_p_lit,,Literate Population Total,long,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_m_lit,,Literate Population Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_f_lit,,Literate Population Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_p_ill,,Illiterate Population Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_m_ill,,Illiterate Population Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_f_ill,,Illiterate Population Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_tot_work_p,,Total Workers - Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_tot_work_m,,Total Workers - Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_tot_work_f,,Total Workers - Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_mainwork_p,,Main Workers - Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_mainwork_m,,Main Workers - Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_mainwork_f,,Main Workers - Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_cl_p,,Cultivators - Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_cl_m,,Cultivators - Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_cl_f,,Cultivators - Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_al_p,,Agricultural Labourers - Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_al_m,,Agricultural Labourers - Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_al_f,,Agricultural Labourers - Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_hh_p,,Manufacturing and Processing in Household Industries - Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_hh_m,,Manufacturing and Processing in Household Industries - Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_hh_f,,Manufacturing and Processing in Household Industries - Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_ot_p,,Other Services Workers - Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_ot_m,,Other Services Workers - Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_main_ot_f,,Other Services Workers - Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_margwork_p,,Marginal Workers - Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_margwork_m,,Marginal Workers - Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_margwork_f,,Marginal Workers - Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_cl_p,,Marginal Cultivators - Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_cl_m,,Marginal Cultivators - Male,int,0,,,0,597597,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_cl_f,,Marginal Cultivators - Female,int,0,,,0,597597,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_al_p,,Marginal Agricultural Labourers - Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_al_m,,Marginal Agricultural Labourers - Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_al_f,,Marginal Agricultural Labourers - Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_hh_p,,Marginal Household Industries - Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_hh_m,,Marginal Household Industries - Male,int,0,,,0,597597,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_hh_f,,Marginal Household Industries - Female,int,0,,,0,597597,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_ot_p,,Marginal Other Services Workers - Total,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_ot_m,,Marginal Other Services Workers - Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_marg_ot_f,,Marginal Other Services Workers - Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_margwork36_p,,Marginal Workers (3-6) Total,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_margwork36_m,,Marginal Workers (3-6) Male,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_margwork36_f,,Marginal Workers (3-6) Female,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_cl36_p,,Marginal Cultivators (3-6) Total,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_cl36_m,,Marginal Cultivators (3-6) Male,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_cl36_f,,Marginal Cultivators (3-6) Female,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_al36_p,,Marginal Agricultural Labourers (3-6) Total,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_al36_m,,Marginal Agricultural Labourers (3-6) Male,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_al36_f,,Marginal Agricultural Labourers (3-6) Female,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_hh36_p,,Marginal Household Industries (3-6) Total,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_hh36_m,,Marginal Household Industries (3-6) Male,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_hh36_f,,Marginal Household Industries (3-6) Female,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_ot36_p,,Marginal Other Services Workers (3-6) Total,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_ot36_m,,Marginal Other Services Workers (3-6) Male,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_ot36_f,,Marginal Other Services Workers (3-6) Female,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_margwork03_p,,Marginal Workers (0-3) Total,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_margwork03_m,,Marginal Workers (0-3) Male,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_margwork03_f,,Marginal Workers (0-3) Female,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_cl03_p,,Marginal Cultivators (0-3) Total,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_cl03_m,,Marginal Cultivators (0-3) Male,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_cl03_f,,Marginal Cultivators (0-3) Female,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_al03_p,,Marginal Agricultural Labourers (0-3) Total,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_al03_m,,Marginal Agricultural Labourers (0-3) Male,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_al03_f,,Marginal Agricultural Labourers (0-3) Female,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_hh03_p,,Marginal Household Industries (0-3) Total,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_hh03_m,,Marginal Household Industries (0-3) Male,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_hh03_f,,Marginal Household Industries (0-3) Female,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_ot03_p,,Marginal Other Services Workers (0-3) Total,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_ot03_m,,Marginal Other Services Workers (0-3) Male,int,0,,,0,597597,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_marg_ot03_f,,Marginal Other Services Workers (0-3) Female,int,0,,,0,597597,0.000,,,label,Same variable name has inconsistent labels.
pc11r_pca_clean.dta,pc11_pca_non_work_p,,Non-Workers - Total,long,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_non_work_m,,Non-Workers - Male,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_non_work_f,,Non-Workers - Female,int,0,,,0,597597,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11r_pca_clean.dta,pc11_pca_sex_2011,,Sex Ratio (2011),int,0,,,76,597597,0.000,,,,
pc11r_pca_clean.dta,pc11_village_name,,,str57,0,,,0,597597,0.000,,,,
