dataset_name,variable_name,variable_rename,variable_label,storage_type,is_categorical,levels,value_labels,n_missing,n_obs,pct_missing,cleaning_flag,rename_suggestion,conflict_flag,remedial_note
pc11u_pca_clean.dta,pc11_state_id,,State ID,str2,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_state_name,,2011 state name,str23,0,,,0,8067,0.000,,,,
pc11u_pca_clean.dta,pc11_district_id,,District ID,str3,0,,,0,8067,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_district_name,,2011 district name,str27,0,,,0,8067,0.000,,,,
pc11u_pca_clean.dta,pc11_subdistrict_id,,Subdistrict (tehsil/taluk) ID,str5,0,,,0,8067,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_subdistrict_name,,2011 subdistrict name,str36,0,,,153,8067,0.019,,,,
pc11u_pca_clean.dta,pc11_town_id,,Town ID,str6,0,,,0,8067,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_town_name,,Town name,str48,0,,,0,8067,0.000,,,conceptual,Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_tot_p,,Total Population,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_town_name,,PCA Town Name,str56,0,,,0,8067,0.000,,,,
pc11u_pca_clean.dta,pc11_pca_no_hh,,Number of Households,long,0,,,0,8067,0.000,,,naming;conceptual,Same variable name has inconsistent storage type. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_tot_m,,Male Population,long,0,,,0,8067,0.000,,,naming;conceptual,Same variable name has inconsistent storage type. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_tot_f,,Female Population,long,0,,,0,8067,0.000,,,naming;conceptual,Same variable name has inconsistent storage type. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_p_06,,Population (0-6),long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_m_06,,Male Population (0-6),long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_f_06,,Female Population (0-6),long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_p_sc,,Scheduled Castes Population Total,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_m_sc,,Scheduled Castes Population Male,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_f_sc,,Scheduled Castes Population Female,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_p_st,,Scheduled Tribes Population Total,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_m_st,,Scheduled Tribes Population Male,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_f_st,,Scheduled Tribes Population Female,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_p_lit,,Literate Population Total,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_m_lit,,Literate Population Male,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_f_lit,,Literate Population Female,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_p_ill,,Illiterate Population Total,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_m_ill,,Illiterate Population Male,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_f_ill,,Illiterate Population Female,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_tot_work_p,,Total Workers - Total,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_tot_work_m,,Total Workers - Male,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_tot_work_f,,Total Workers - Female,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_mainwork_p,,Main Workers - Total,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_mainwork_m,,Main Workers - Male,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_mainwork_f,,Main Workers - Female,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_cl_p,,Cultivators - Total,int,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_cl_m,,Cultivators - Male,int,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_cl_f,,Cultivators - Female,int,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_al_p,,Agricultural Labourers - Total,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_al_m,,Agricultural Labourers - Male,int,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_al_f,,Agricultural Labourers - Female,int,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_hh_p,,Manufacturing and Processing in Household Industries - Total,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_hh_m,,Manufacturing and Processing in Household Industries - Male,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_hh_f,,Manufacturing and Processing in Household Industries - Female,int,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_ot_p,,Other Services Workers - Total,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_ot_m,,Other Services Workers - Male,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_main_ot_f,,Other Services Workers - Female,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_margwork_p,,Marginal Workers - Total,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_margwork_m,,Marginal Workers - Male,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_margwork_f,,Marginal Workers - Female,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_cl_p,,Marginal Cultivators - Total,int,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_cl_m,,Marginal Cultivators - Male,int,0,,,0,8067,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_cl_f,,Marginal Cultivators - Female,int,0,,,0,8067,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_al_p,,Marginal Agricultural Labourers - Total,int,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_al_m,,Marginal Agricultural Labourers - Male,int,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_al_f,,Marginal Agricultural Labourers - Female,int,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_hh_p,,Marginal Household Industries - Total,int,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_hh_m,,Marginal Household Industries - Male,int,0,,,0,8067,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_hh_f,,Marginal Household Industries - Female,int,0,,,0,8067,0.000,,,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_ot_p,,Marginal Other Services Workers - Total,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_ot_m,,Marginal Other Services Workers - Male,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_marg_ot_f,,Marginal Other Services Workers - Female,long,0,,,0,8067,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
pc11u_pca_clean.dta,pc11_pca_margwork36_p,,Marginal Workers (3-6) Total,long,0,,,0,8067,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_margwork36_m,,Marginal Workers (3-6) Male,long,0,,,0,8067,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_margwork36_f,,Marginal Workers (3-6) Female,long,0,,,0,8067,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_marg_cl36_p,,Marginal Cultivators (3-6) Total,int,0,,,0,8067,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_marg_cl36_m,,Marginal Cultivators (3-6) Male,int,0,,,0,8067,0.000,,,label,Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_marg_cl36_f,,Marginal Cultivators (3-6) Female,int,0,,,0,8067,0.000,,,label,Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_marg_al36_p,,Marginal Agricultural Labourers (3-6) Total,int,0,,,0,8067,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_marg_al36_m,,Marginal Agricultural Labourers (3-6) Male,int,0,,,0,8067,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_marg_al36_f,,Marginal Agricultural Labourers (3-6) Female,int,0,,,0,8067,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_marg_hh36_p,,Marginal Household Industries (3-6) Total,int,0,,,0,8067,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_marg_hh36_m,,Marginal Household Industries (3-6) Male,int,0,,,0,8067,0.000,,,label,Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_marg_hh36_f,,Marginal Household Industries (3-6) Female,int,0,,,0,8067,0.000,,,label,Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_marg_ot36_p,,Marginal Other Services Workers (3-6) Total,long,0,,,0,8067,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
pc11u_pca_clean.dta,pc11_pca_marg_ot36_m,,Marginal Other Services Workers (3-6) Male,long,0,,,0,8067,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
