dataset_name,variable_name,variable_rename,variable_label,storage_type,is_categorical,levels,value_labels,n_missing,n_obs,pct_missing,cleaning_flag,rename_suggestion,conflict_flag,remedial_note
segregation_blockdata_rural_200.dta,pc11_state_id,,2011 state id,str2,0,,,0,1108313,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
segregation_blockdata_rural_200.dta,pc11_district_id,,2011 district id,str3,0,,,0,1108313,0.000,,,label,Same variable name has inconsistent labels.
segregation_blockdata_rural_200.dta,pc11_subdistrict_id,,2011 subdistrict id,str5,0,,,0,1108313,0.000,,,label,Same variable name has inconsistent labels.
segregation_blockdata_rural_200.dta,shrid,shrug_id,SHRUG Identifier,str12,0,,,0,1108313,0.000,,shrug_id,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
segregation_blockdata_rural_200.dta,subdistrict,pc11_subdistrict_composite_id,,str10,0,,,0,1108313,0.000,,pc11_subdistrict_composite_id,label,Same variable name has inconsistent labels.
segregation_blockdata_rural_200.dta,pc11_village_id,,2011 village id,str6,0,,,0,1108313,0.000,,,label,Same variable name has inconsistent labels.
segregation_blockdata_rural_200.dta,pc11_ward_id,,2011 ward id,str4,0,,,0,1108313,0.000,,,,
segregation_blockdata_rural_200.dta,block_no,seg_block_group_id,,float,0,,,0,1108313,0.000,,seg_block_group_id,,
segregation_blockdata_rural_200.dta,block_pop_with_invalid,block_pop_including_unclassified,Total neighborhood population incl people not classified as SC/ST,double,0,,,0,1108313,0.000,,block_pop_including_unclassified,label,Same variable name has inconsistent labels.
segregation_blockdata_rural_200.dta,sc,sc_pop,Total population count sc,double,0,,,0,1108313,0.000,,sc_pop,label,Same variable name has inconsistent labels.
segregation_blockdata_rural_200.dta,muslim,muslim_pop,Total population count muslim,double,0,,,0,1108313,0.000,,muslim_pop,label,Same variable name has inconsistent labels.
segregation_blockdata_rural_200.dta,nonsc,non_sc_pop,Total population count nonsc,double,0,,,0,1108313,0.000,,non_sc_pop,label,Same variable name has inconsistent labels.
segregation_blockdata_rural_200.dta,nonmuslim,non_muslim_pop,Total population count nonmuslim,double,0,,,0,1108313,0.000,,non_muslim_pop,label,Same variable name has inconsistent labels.
