dataset_name,variable_name,variable_rename,variable_label,storage_type,is_categorical,levels,value_labels,n_missing,n_obs,pct_missing,cleaning_flag,rename_suggestion,conflict_flag,remedial_note
segregation_citydata_rural_200.dta,subdistrict,pc11_subdistrict_composite_id,Subdistrict (upper) control,str10,0,,,0,4869,0.000,,pc11_subdistrict_composite_id,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,block_units,,number of block units in this subdistrict unit,float,0,,,0,4869,0.000,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_dissim_sc,,dissimilarity: sc (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_interact_maj_sc,,Interaction Index- majority: sc (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_interact_min_sc,,Interaction Index- minority: sc (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_iso_sc,,Isolation: sc (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_iso_sc_rescaled,,Rescaled Isolation (0-1): sc (subdistrict),float,0,,,0,4869,0.000,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_correlation_sc,,Correlation: sc (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_gini_sc,,gini: sc (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_dissim_muslim,,dissimilarity: muslim (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_interact_maj_muslim,,Interaction Index- majority: muslim (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_interact_min_muslim,,Interaction Index- minority: muslim (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_iso_muslim,,Isolation: muslim (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_iso_muslim_rescaled,,Rescaled Isolation (0-1): muslim (subdistrict),float,0,,,4,4869,0.001,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_correlation_muslim,,Correlation: muslim (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_gini_muslim,,gini: muslim (subdistrict),float,0,,,94,4869,0.019,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,ent_hindex,,Entropy Index,float,0,,,246,4869,0.051,,,,
segregation_citydata_rural_200.dta,elf,,Fractionalisation,float,0,,,0,4869,0.000,,,,
segregation_citydata_rural_200.dta,city_pop_with_invalid,city_pop_including_unclassified,City Population with ,double,0,,,0,4869,0.000,,city_pop_including_unclassified,,
segregation_citydata_rural_200.dta,sc,sc_pop,SC count,double,0,,,0,4869,0.000,,sc_pop,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,muslim,muslim_pop,Muslim count,double,0,,,0,4869,0.000,,muslim_pop,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,nonsc,non_sc_pop,Non-SC Count,double,0,,,0,4869,0.000,,non_sc_pop,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,nonmuslim,non_muslim_pop,Non-Muslim Count,double,0,,,0,4869,0.000,,non_muslim_pop,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,nonscmuslim,other_pop,Other/General Count,double,0,,,0,4869,0.000,,other_pop,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,bad_sc,invalid_sc_flag,Pop with missing SC/ST classification,double,0,,,0,4869,0.000,,invalid_sc_flag,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,bad_muslim,invalid_muslim_flag,Pop with missing Muslim classification,double,0,,,0,4869,0.000,,invalid_muslim_flag,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,city_pop,,total city population (doesn't include those with missing sc/st classification),double,0,,,0,4869,0.000,,,label,Same variable name has inconsistent labels.
segregation_citydata_rural_200.dta,hh,household_count,number of households,double,0,,,0,4869,0.000,,household_count,label;conceptual,Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
