dataset_name,variable_name,variable_rename,variable_label,storage_type,is_categorical,levels,value_labels,n_missing,n_obs,pct_missing,cleaning_flag,rename_suggestion,conflict_flag,remedial_note
shrug_pc11_pca.dta,shrid,shrug_id,SHRUG Identifier,str12,0,,,0,590874,0.000,,shrug_id,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
shrug_pc11_pca.dta,pc11_sector,,,byte,1,1; 2; 3,1=town; 2=village; 3=town & village,0,590874,0.000,,,,
shrug_pc11_pca.dta,pc11_pca_tot_p_u,,urban total population,float,0,,,583346,590874,0.987,,,,
shrug_pc11_pca.dta,pc11_pca_no_hh_u,,urban number of households,float,0,,,583346,590874,0.987,,,,
shrug_pc11_pca.dta,pc11_pca_tot_m_u,,urban male population,float,0,,,583346,590874,0.987,,,,
shrug_pc11_pca.dta,pc11_pca_tot_f_u,,urban female population,float,0,,,583346,590874,0.987,,,,
shrug_pc11_pca.dta,pc11_pca_p_sc_u,,urban total scheduled castes population,float,0,,,583346,590874,0.987,,,,
shrug_pc11_pca.dta,pc11_pca_p_st_u,,urban total scheduled tribes population,float,0,,,583346,590874,0.987,,,,
shrug_pc11_pca.dta,pc11_pca_tot_p_r,,rural total population,float,0,,,7302,590874,0.012,,,,
shrug_pc11_pca.dta,pc11_pca_no_hh_r,,rural number of households,float,0,,,7302,590874,0.012,,,,
shrug_pc11_pca.dta,pc11_pca_tot_m_r,,rural male population,float,0,,,7302,590874,0.012,,,,
shrug_pc11_pca.dta,pc11_pca_tot_f_r,,rural female population,float,0,,,7302,590874,0.012,,,,
shrug_pc11_pca.dta,pc11_pca_p_sc_r,,rural total scheduled castes population,float,0,,,7302,590874,0.012,,,,
shrug_pc11_pca.dta,pc11_pca_p_st_r,,rural total scheduled tribes population,float,0,,,7302,590874,0.012,,,,
shrug_pc11_pca.dta,pc11_pca_tot_p,,total population,float,0,,,0,590874,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
shrug_pc11_pca.dta,pc11_pca_no_hh,,number of households,float,0,,,0,590874,0.000,,,naming;conceptual,Same variable name has inconsistent storage type. | Same normalized label appears under different variable names.
shrug_pc11_pca.dta,pc11_pca_tot_m,,male population,float,0,,,0,590874,0.000,,,naming;conceptual,Same variable name has inconsistent storage type. | Same normalized label appears under different variable names.
shrug_pc11_pca.dta,pc11_pca_tot_f,,female population,float,0,,,0,590874,0.000,,,naming;conceptual,Same variable name has inconsistent storage type. | Same normalized label appears under different variable names.
