dataset_name,variable_name,variable_rename,variable_label,storage_type,is_categorical,levels,value_labels,n_missing,n_obs,pct_missing,cleaning_flag,rename_suggestion,conflict_flag,remedial_note
shrug_pc11_td.dta,shrid,shrug_id,SHRUG Identifier,str12,0,,,0,7526,0.000,,shrug_id,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
shrug_pc11_td.dta,pc11_td_avg_rain,,Rainfall (mm.),double,0,,,413,7526,0.055,,,,
shrug_pc11_td.dta,pc11_td_allh_dist,,Hospital Allopathic Nearest facility Distance (in Kms.),double,0,,,309,7526,0.041,,,,
shrug_pc11_td.dta,pc11_td_alt_hosp_dist,,Hospital Alternative Medicine Nearest facility Distance(in kms.),double,0,,,418,7526,0.056,,,,
shrug_pc11_td.dta,pc11_td_disp_dist,,Dispensary/Health Centre Nearest facility Distance (in Kms.),double,0,,,332,7526,0.044,,,,
shrug_pc11_td.dta,pc11_td_fwc_dist,,Family Welfare Centre Nearest facility Distance (in kms.),double,0,,,446,7526,0.059,,,,
shrug_pc11_td.dta,pc11_td_mcwc_dist,,Maternity and Child Welfare Centre Nearest facility Distance (in Kms.) ,double,0,,,357,7526,0.047,,,,
shrug_pc11_td.dta,pc11_td_mh_dist,,Maternity Home Nearest facility Distance (in kms.),double,0,,,380,7526,0.050,,,,
shrug_pc11_td.dta,pc11_td_tbc_dist,,T.B. Hospital/ Clinic Nearest facility Distance (in kms.),double,0,,,375,7526,0.050,,,,
shrug_pc11_td.dta,pc11_td_nh_dist,,Nursing Home Nearest facility Distance (in kms.),double,0,,,2110,7526,0.280,,,,
shrug_pc11_td.dta,pc11_td_veth_dist,,Veterinary Hospital Nearest facility Distance (in kms.),double,0,,,405,7526,0.054,,,,
shrug_pc11_td.dta,pc11_td_mhc_dist,,Mobile Health Clinic Nearest facility Distance (in kms.),double,0,,,565,7526,0.075,,,,
shrug_pc11_td.dta,pc11_td_med_oth_dist,,Others Nearest facility Distance (in kms.),double,0,,,2737,7526,0.364,,,,
shrug_pc11_td.dta,pc11_td_sh_dist,,State H.Q. Road Distance (in kms.),double,0,,,238,7526,0.032,,,,
shrug_pc11_td.dta,pc11_td_dh_dist,,District H.Q. Road Distance (in kms.),double,0,,,169,7526,0.022,,,,
shrug_pc11_td.dta,pc11_td_sdt_dist,,Sub-division/Taluk/Tahsil/Police Station/ Development Block/Island H.Q.Road Dist,double,0,,,247,7526,0.033,,,,
