dataset_name,variable_name,variable_rename,variable_label,storage_type,is_categorical,levels,value_labels,n_missing,n_obs,pct_missing,cleaning_flag,rename_suggestion,conflict_flag,remedial_note
shrug_pc11_vd.dta,shrid,shrug_id,SHRUG Identifier,str12,0,,,0,583572,0.000,,shrug_id,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_power_dom_win,,power supply for domestic use in winter (October-March) per day (in hours),float,0,,,57189,583572,0.098,,,,
shrug_pc11_vd.dta,pc11_vd_power_agr_sum,,power supply for agricultural use in summer (April-September) per day (in hours),float,0,,,76313,583572,0.131,,,,
shrug_pc11_vd.dta,pc11_vd_power_agr_win,,power supply for agricultural use in winter (October-March) per day (in hours),float,0,,,76325,583572,0.131,,,,
shrug_pc11_vd.dta,pc11_vd_power_all_sum,,power supply for all uses in summer (April-September) per day (in hours),float,0,,,45278,583572,0.078,,,,
shrug_pc11_vd.dta,pc11_vd_power_all_win,,power supply for all uses in winter (October-March) per day (in hours),float,0,,,45310,583572,0.078,,,,
shrug_pc11_vd.dta,pc11_vd_power_dom_sum,,power supply for domestic use in summer (April-September) per day (in hours),float,0,,,57536,583572,0.099,,,,
shrug_pc11_vd.dta,pc11_vd_power_com_sum,,power supply for commercial use in summer (April-September) per day (in hours),float,0,,,80278,583572,0.138,,,,
shrug_pc11_vd.dta,pc11_vd_power_com_win,,power supply for commercial use in winter (October-March) per day (in hours),float,0,,,80319,583572,0.138,,,,
shrug_pc11_vd.dta,pc11_vd_subdistrict_hq_dist,,Sub District Head Quarter (Distance in km),float,0,,,54842,583572,0.094,,,,
shrug_pc11_vd.dta,pc11_vd_district_hq_dist,,District Head Quarter  (Distance in km),float,0,,,42610,583572,0.073,,,,
shrug_pc11_vd.dta,pc11_vd_wi_st_town_dist,,Within the State/UT (Distance in km),float,0,,,280017,583572,0.480,,,,
shrug_pc11_vd.dta,pc11_vd_out_st_town_dist,,"Outside the State/UT distance, if nearest one is not within the State/UT (Distan",float,0,,,536755,583572,0.920,,,,
shrug_pc11_vd.dta,pc11_vd_t_hh,,Total   Households,long,0,,,0,583572,0.000,,,conceptual,Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_t_p,,Total Population of Village,long,0,,,0,583572,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
shrug_pc11_vd.dta,pc11_vd_t_m,,Total Male Population of Village,long,0,,,0,583572,0.000,,,,
shrug_pc11_vd.dta,pc11_vd_t_f,,Total Female Population of Village,long,0,,,0,583572,0.000,,,,
shrug_pc11_vd.dta,pc11_vd_sc_p,,Total Scheduled Castes Population of Village,long,0,,,0,583572,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
shrug_pc11_vd.dta,pc11_vd_sc_m,,Total Scheduled Castes  Male Population of Village,long,0,,,0,583572,0.000,,,,
shrug_pc11_vd.dta,pc11_vd_sc_f,,Total Scheduled Castes  Female Population of Village,long,0,,,0,583572,0.000,,,,
shrug_pc11_vd.dta,pc11_vd_st_p,,Total Scheduled Tribes Population of Village,long,0,,,0,583572,0.000,,,naming;label,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels.
shrug_pc11_vd.dta,pc11_vd_st_m,,Total Scheduled Tribes  Male Population of Village,long,0,,,0,583572,0.000,,,,
shrug_pc11_vd.dta,pc11_vd_st_f,,Total Scheduled Tribes  Female Population of Village,long,0,,,0,583572,0.000,,,,
shrug_pc11_vd.dta,pc11_vd_p_p_sch_gov,,Govt  Pre - Primary School (Nursery/LKG/UKG) (Numbers),int,0,,,68,583572,0.000,,,,
shrug_pc11_vd.dta,pc11_vd_p_p_sch_priv,,Private Pre - Primary School (Nursery/LKG/UKG) (Numbers),int,0,,,1431,583572,0.002,,,,
shrug_pc11_vd.dta,pc11_vd_p_sch_gov,,Govt Primary School (Numbers),int,0,,,139,583572,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_p_sch_priv,,Private  Primary School (Numbers),int,0,,,1983,583572,0.003,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_m_sch_gov,,Govt  Middle School (Numbers),int,0,,,511,583572,0.001,,,conceptual,Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_m_sch_priv,,Private Middle School (Numbers),int,0,,,2354,583572,0.004,,,conceptual,Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_s_sch_gov,,Govt  Secondary School (Numbers),int,0,,,18,583572,0.000,,,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_s_sch_priv,,Private Secondary  School (Numbers),int,0,,,329,583572,0.001,,,conceptual,Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_s_s_sch_gov,,Govt Senior Secondary School (Numbers),byte,1,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 11; 12; 13; 18; 30; 36; 42; 66,,15,583572,0.000,,,conceptual,Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_s_s_sch_priv,,Private Senior Secondary  School (Numbers),byte,1,0; 1; 2; 3; 4; 5; 6; 7; 8; 10; 11; 13; 36; 56; 70,,223,583572,0.000,,,conceptual,Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_a_s_coll_gov,,Govt  Arts and Science Degree College (Numbers),byte,1,0; 1; 2; 3; 4; 5; 7; 11; 18; 21,,20,583572,0.000,,,,
shrug_pc11_vd.dta,pc11_vd_a_s_coll_priv,,Private  Arts and Science Degree College (Numbers),byte,1,0; 1; 2; 3; 4; 5; 11; 18; 24,,44,583572,0.000,,,,
shrug_pc11_vd.dta,pc11_vd_engg_coll_gov,,Govt Engineering College (Numbers),byte,1,0; 1; 2; 4,,1477,583572,0.003,,,conceptual,Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_engg_coll_priv,,Private Engineering College (Numbers),int,1,0; 1; 2; 3; 4; 5; 6; 7; 9; 121,,1485,583572,0.003,,,conceptual,Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_medi_coll_gov,,Govt Medicine  College (Numbers),byte,1,0; 1; 2; 3; 4; 11,,1480,583572,0.003,,,,
shrug_pc11_vd.dta,pc11_vd_medi_coll_priv,,Private Medicine College (Numbers),byte,1,0; 1; 2; 3; 4; 6; 8,,1436,583572,0.002,,,,
shrug_pc11_vd.dta,pc11_vd_mgt_inst_gov,,Govt Management Institute (Numbers),byte,1,0; 1; 2,,555,583572,0.001,,,conceptual,Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_mgt_inst_priv,,Private Management Institute (Numbers),byte,1,0; 1; 2; 3; 4; 7; 15; 67,,554,583572,0.001,,,conceptual,Same normalized label appears under different variable names.
shrug_pc11_vd.dta,pc11_vd_poly_gov,,Govt Polytechnic (Numbers),byte,1,0; 1; 2; 3; 11,,628,583572,0.001,,,conceptual,Same normalized label appears under different variable names.
