dataset_name,variable_name,variable_rename,variable_label,storage_type,is_categorical,levels,value_labels,n_missing,n_obs,pct_missing,cleaning_flag,rename_suggestion,conflict_flag,remedial_note
shrug_spatial.dta,shrid,shrug_id,SHRUG Identifier,str12,0,,,0,633228,0.000,,shrug_id,naming;label;conceptual,Same variable name has inconsistent storage type. | Same variable name has inconsistent labels. | Same normalized label appears under different variable names.
shrug_spatial.dta,latitude,,"shrid centroid lat - for multi-feature shrids, centroids are area-weighted",float,0,,,38,633228,0.000,,,,
shrug_spatial.dta,longitude,,"shrid centroid lon - for multi-feature shrids, centroids are area-weighted",float,0,,,38,633228,0.000,,,,
shrug_spatial.dta,tdist_10_shrid,nearest_10k_pop_shrug_id,shrid of nearest location above 10k pc11 population (including self),str12,0,,,37559,633228,0.059,,nearest_10k_pop_shrug_id,,
shrug_spatial.dta,tdist_10,,Min dist (km) to nearest place (shrid) with pc11 pop above 10k (including self),float,0,,,37578,633228,0.059,,,,
shrug_spatial.dta,tdist_50_shrid,nearest_50k_pop_shrug_id,shrid of nearest location above 50k pc11 population (including self),str12,0,,,37559,633228,0.059,,nearest_50k_pop_shrug_id,,
shrug_spatial.dta,tdist_50,,Min dist (km) to nearest place (shrid) with pc11 pop above 50k (including self),float,0,,,37578,633228,0.059,,,,
shrug_spatial.dta,tdist_100_shrid,nearest_100k_pop_shrug_id,shrid of nearest location above 100k pc11 population (including self),str12,0,,,37559,633228,0.059,,nearest_100k_pop_shrug_id,,
shrug_spatial.dta,tdist_100,,Min dist (km) to nearest place (shrid) with pc11 pop above 100k (including self),float,0,,,37578,633228,0.059,,,,
shrug_spatial.dta,tdist_500_shrid,nearest_500k_pop_shrug_id,shrid of nearest location above 500k pc11 population (including self),str12,0,,,37559,633228,0.059,,nearest_500k_pop_shrug_id,,
shrug_spatial.dta,tdist_500,,Min dist (km) to nearest place (shrid) with pc11 pop above 500k (including self),float,0,,,37578,633228,0.059,,,,
shrug_spatial.dta,num_matched_pc11,,number of pc11 ids (from shrid key) matched to shrid,int,0,,,0,633228,0.000,,,,
shrug_spatial.dta,num_matched_poly,,number of pc11 polygons matched to shrid (via pc11 ids),int,0,,,0,633228,0.000,,,,
shrug_spatial.dta,num_final_poly,,number of polygons for each shrid post-dissolution of adjacent polys,byte,1,0; 1; 2; 3; 4; 5; 6; 8; 10; 13; 26,,0,633228,0.000,,,,
shrug_spatial.dta,max_centroid_dist_final_poly,,maximum dist (km) between centroids of post-dissolution shrid polygon pieces,float,0,,,0,633228,0.000,,,,
shrug_spatial.dta,min_perim_dist_final_poly,,minimum perimeter distance in km between all shrid-matched pieces,float,0,,,5065,633228,0.008,,,,
shrug_spatial.dta,shr_pop,,share of pc11 population expected in a given shrid found in input shapefile,float,0,,,0,633228,0.000,,,,
shrug_spatial.dta,thiessen_polygon,,1 if this shrid is a thiessen poly generated from a point,byte,1,1,0=georeferenced; 1=thiessen,603885,633228,0.954,,,,
shrug_spatial.dta,high_quality,,whether shrid polygon kept in final shapefile,byte,1,0; 1,0=no; 1=yes,0,633228,0.000,,,,
shrug_spatial.dta,quality_desc,,"shrid polygon quality flag, and reasons for discard",str76,0,,,0,633228,0.000,,,,
shrug_spatial.dta,area_laea,,"shrid polygon area (square km), calc with lambert azimuthal equal area proj.",double,0,,,522,633228,0.001,,,,
